community_id,name,house_title,district,monthly_rent,area,monthly_rent_per_sqm,listing_count,source,scraped_at
GZ2041435739551432704,海珠,整租·穗龙花园 1室1厅 北,海珠区,2200.0,40.0,55.0,1,贝壳租房列表页,2026-05-25T14:04:08.088277
独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,,独栋·云境公寓 赤岗店 珠江新城旁南北对流 大单间阳台房 民水电 开间,海珠区,2580.0,35.0,73.71,1,贝壳租房列表页,2026-05-25T14:04:08.089081
GZ2053371089190387712,海珠,整租·光大花园水岸榕城 1室0厅 东,海珠区,1300.0,12.0,108.33,1,贝壳租房列表页,2026-05-25T14:04:08.089897
独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,,独栋·云境公寓 赤岗店 赤岗商圈 朝南带阳台大单间  采光好  有停车场  押1付1 1室1厅,海珠区,2780.0,35.0,79.43,1,贝壳租房列表页,2026-05-25T14:04:08.090702
GZ2053403825745690624,海珠,整租·雅林居 3室1厅 东北,海珠区,3900.0,85.0,45.88,1,贝壳租房列表页,2026-05-25T14:04:08.091423
独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,,独栋·珑寓 宝岗店 医生进修/免管理费/可开票/电梯阳光大单间/红会医院/孙逸仙 开间,海珠区,2350.0,25.0,94.0,1,贝壳租房列表页,2026-05-25T14:04:08.092101
GZ2053783647646908416,海珠,整租·海琴湾宜利苑 3室2厅 南/北,海珠区,6800.0,118.62,57.33,1,贝壳租房列表页,2026-05-25T14:04:08.092730
独栋·珑寓 宝岗店 阳光通透 配套健身房 阳台单间，大窗采光 0中介 高层电梯独栋 民电不走巷子 开间,,独栋·珑寓 宝岗店 阳光通透 配套健身房 阳台单间，大窗采光 0中介 高层电梯独栋 民电不走巷子 开间,海珠区,2550.0,25.0,102.0,1,贝壳租房列表页,2026-05-25T14:04:08.093470
GZ2053742583292624896,海珠,整租·纵横公寓 2室2厅 南,海珠区,4800.0,61.0,78.69,1,贝壳租房列表页,2026-05-25T14:04:08.094107
独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,,独栋·金地草莓社区 中大店 【毕业生优惠】滨江东中大双地铁  南向一房一厅 民水民电 学生白领住 1室1厅,海珠区,2550.0,35.0,72.86,1,贝壳租房列表页,2026-05-25T14:04:08.094819
GZ2053442848790937600,海珠,整租·昌岗中路 2室1厅 南,海珠区,2300.0,62.0,37.1,1,贝壳租房列表页,2026-05-25T14:04:08.095431
独栋·金地草莓社区 同福西地铁站店 【江景大单间-五月福利-限时特惠-孙逸仙北院-6/8号线地铁】近地铁-地铁口，民水民电 1室1厅,,独栋·金地草莓社区 同福西地铁站店 【江景大单间-五月福利-限时特惠-孙逸仙北院-6/8号线地铁】近地铁-地铁口，民水民电 1室1厅,海珠区,3360.0,35.0,96.0,1,贝壳租房列表页,2026-05-25T14:04:08.096023
GZ2054060101345476608,海珠,整租·丽景湾 3室2厅 南,海珠区,7800.0,130.29,59.87,1,贝壳租房列表页,2026-05-25T14:04:08.096600
独栋·与之城市青年之家 天荟江湾 国企高端服务式公寓 江景阳台一房一厅 全屋一线家电 拎包入住 1室1厅,,独栋·与之城市青年之家 天荟江湾 国企高端服务式公寓 江景阳台一房一厅 全屋一线家电 拎包入住 1室1厅,海珠区,7200.0,60.0,120.0,1,贝壳租房列表页,2026-05-25T14:04:08.097143
GZ2054186513771528192,海珠,整租·翠屏中惠雅苑 2室2厅 东南,海珠区,5200.0,85.0,61.18,1,贝壳租房列表页,2026-05-25T14:04:08.097691
GZ2054447870236426240,海珠,整租·保利花园 1室0厅 南,海珠区,1300.0,15.0,86.67,1,贝壳租房列表页,2026-05-25T14:04:08.098218
GZ2054227148859768832,海珠,整租·珠江帝景苑 1室0厅 南,海珠区,1350.0,12.5,108.0,1,贝壳租房列表页,2026-05-25T14:04:08.098863
独栋·珑寓 宝岗店 【特价阳光单间】不短租/近市二宫/独栋电梯/直租/押一付一 开间,,独栋·珑寓 宝岗店 【特价阳光单间】不短租/近市二宫/独栋电梯/直租/押一付一 开间,海珠区,2080.0,20.0,104.0,1,贝壳租房列表页,2026-05-25T14:04:08.099384
GZ2054800707155918848,海珠,合租·江畔楼 4居室 北卧,海珠区,2700.0,20.0,135.0,1,贝壳租房列表页,2026-05-25T14:04:08.100003
GZ2054801454719303680,海珠,合租·江畔楼 4居室 北卧,海珠区,2700.0,20.0,135.0,1,贝壳租房列表页,2026-05-25T14:04:08.100579
GZ2054543463218675712,海珠,整租·保利百合花园 1室0厅 南,海珠区,1100.0,13.0,84.62,1,贝壳租房列表页,2026-05-25T14:04:08.101182
独栋·珑寓 宝岗店 通透采光，南向户型阳光充足，告别阴暗潮湿 开间,,独栋·珑寓 宝岗店 通透采光，南向户型阳光充足，告别阴暗潮湿 开间,海珠区,2250.0,23.0,97.83,1,贝壳租房列表页,2026-05-25T14:04:08.101755
GZ2054866135743987712,海珠,整租·工业大道北 1室0厅 东北,海珠区,3800.0,45.0,84.44,1,贝壳租房列表页,2026-05-25T14:04:08.102301
独栋·金地草莓社区 中大店 中大滨江东双地铁 阳光单间 学生优惠 押一付一拎包入住 开间,,独栋·金地草莓社区 中大店 中大滨江东双地铁 阳光单间 学生优惠 押一付一拎包入住 开间,海珠区,1960.0,23.0,85.22,1,贝壳租房列表页,2026-05-25T14:04:08.102805
GZ2054885498089897984,海珠,整租·金乐大厦 1室0厅 东南,海珠区,1200.0,13.91,86.27,1,贝壳租房列表页,2026-05-25T14:04:08.103295
独栋·金地草莓社区 中大店 中大南校/滨江东地铁站 带阳台单间环境安静 押一付一 开间,,独栋·金地草莓社区 中大店 中大南校/滨江东地铁站 带阳台单间环境安静 押一付一 开间,海珠区,2500.0,30.0,83.33,1,贝壳租房列表页,2026-05-25T14:04:08.103843
GZ2055119113818210304,海珠,整租·宝岗大道 1室0厅 东南,海珠区,1200.0,25.0,48.0,1,贝壳租房列表页,2026-05-25T14:04:08.104421
独栋·与之城市青年之家 天荟江湾 国企高端服务式公寓  一线江景阳台两房两厅两卫 拎包入住 全屋一线家电 2室2厅,,独栋·与之城市青年之家 天荟江湾 国企高端服务式公寓  一线江景阳台两房两厅两卫 拎包入住 全屋一线家电 2室2厅,海珠区,13500.0,120.0,112.5,1,贝壳租房列表页,2026-05-25T14:04:08.104943
GZ2055496926840750080,海珠,整租·保利花园 3室2厅 东南,海珠区,6000.0,140.0,42.86,1,贝壳租房列表页,2026-05-25T14:04:08.105435
独栋·窝趣轻社区 新都荟广场店 活动特惠 6个月起租 采光好 押一 可做饭 民水电 东晓南地铁600米 开间,,独栋·窝趣轻社区 新都荟广场店 活动特惠 6个月起租 采光好 押一 可做饭 民水电 东晓南地铁600米 开间,海珠区,1900.0,28.0,67.86,1,贝壳租房列表页,2026-05-25T14:04:08.105921
GZ2148002258577522688,海珠,整租·翠城花园 1室0厅 东南,海珠区,1500.0,12.0,125.0,1,贝壳租房列表页,2026-05-25T14:04:31.089764
独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月限时特惠-双地铁】同福西 文化公园地铁口 押一付一 1室1厅,,独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月限时特惠-双地铁】同福西 文化公园地铁口 押一付一 1室1厅,海珠区,3880.0,55.0,70.55,1,贝壳租房列表页,2026-05-25T14:04:31.090595
GZ2148001405560946688,海珠,整租·保利百合花园 1室0厅 南,海珠区,1200.0,12.0,100.0,1,贝壳租房列表页,2026-05-25T14:04:31.091313
独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月特惠】地铁300M孙逸仙北院同福西 文化公园地铁口押一付一 1室1厅,,独栋·金地草莓社区 同福西地铁站店 【江景一房一厅-5月特惠】地铁300M孙逸仙北院同福西 文化公园地铁口押一付一 1室1厅,海珠区,3880.0,55.0,70.55,1,贝壳租房列表页,2026-05-25T14:04:31.091966
GZ2147988484307025920,海珠,整租·荔福路 1室4厅 北,海珠区,7000.0,78.0,89.74,1,贝壳租房列表页,2026-05-25T14:04:31.092699
独栋·龙湖冠寓 逸景路地铁站店 磨碟沙/琶洲首选  储物空间大 采光好  3个月起租  押1付1 开间,,独栋·龙湖冠寓 逸景路地铁站店 磨碟沙/琶洲首选  储物空间大 采光好  3个月起租  押1付1 开间,海珠区,2800.0,36.0,77.78,1,贝壳租房列表页,2026-05-25T14:04:31.093422
GZ2147998704898932736,海珠,整租·保利红棉花园 2室1厅 北,海珠区,3300.0,60.0,55.0,1,贝壳租房列表页,2026-05-25T14:04:31.094208
独栋·龙湖冠寓 逸景路地铁站店 通勤磨碟沙地铁有座  单间带衣帽间  押1付1 免中介费  3个月起租 开间,,独栋·龙湖冠寓 逸景路地铁站店 通勤磨碟沙地铁有座  单间带衣帽间  押1付1 免中介费  3个月起租 开间,海珠区,2550.0,30.0,85.0,1,贝壳租房列表页,2026-05-25T14:04:31.094882
GZ2148000425570205696,海珠,整租·怡安花园 2室1厅 东南,海珠区,2800.0,62.0,45.16,1,贝壳租房列表页,2026-05-25T14:04:31.095509
独栋·百合社区 江南西1店 江南西附近大单间！可短租 民水电！ 开间,,独栋·百合社区 江南西1店 江南西附近大单间！可短租 民水电！ 开间,海珠区,1550.0,23.0,67.39,1,贝壳租房列表页,2026-05-25T14:04:31.096612
GZ2147981516976685056,海珠,整租·东晓路 2室1厅 南,海珠区,950.0,40.0,23.75,1,贝壳租房列表页,2026-05-25T14:04:31.097224
