case_id,city,area,level,unit_price,total_price,duration_days
经济型_0,广州,86.2,经济型,580.0,49975.0,25
经济型_1,广州,77.2,经济型,599.0,46243.0,25
经济型_2,广州,100.4,经济型,600.0,60283.0,25
经济型_3,广州,85.3,经济型,774.0,66016.0,25
经济型_4,广州,91.5,经济型,875.0,80134.0,25
经济型_5,广州,89.6,经济型,669.0,59892.0,25
经济型_6,广州,94.5,经济型,587.0,55458.0,25
经济型_7,广州,106.1,经济型,650.0,68909.0,25
经济型_8,广州,85.5,经济型,773.0,66106.0,25
经济型_9,广州,76.1,经济型,764.0,58151.0,25
经济型_10,广州,104.0,经济型,636.0,66094.0,25
经济型_11,广州,107.9,经济型,711.0,76751.0,25
经济型_12,广州,101.0,经济型,688.0,69435.0,25
经济型_13,广州,86.1,经济型,608.0,52331.0,25
经济型_14,广州,70.3,经济型,582.0,40883.0,25
经济型_15,广州,109.6,经济型,714.0,78212.0,25
经济型_16,广州,88.5,经济型,860.0,76104.0,25
经济型_17,广州,94.2,经济型,891.0,83921.0,25
经济型_18,广州,84.3,经济型,586.0,49428.0,25
经济型_19,广州,106.8,经济型,564.0,60287.0,25
中档_0,广州,101.7,中档,1357.0,137996.0,45
中档_1,广州,109.3,中档,1566.0,171226.0,45
中档_2,广州,96.4,中档,1022.0,98556.0,45
中档_3,广州,70.9,中档,1284.0,91094.0,45
中档_4,广州,102.8,中档,1049.0,107792.0,45
中档_5,广州,87.0,中档,1052.0,91508.0,45
中档_6,广州,82.4,中档,1003.0,82672.0,45
中档_7,广州,83.2,中档,1314.0,109312.0,45
中档_8,广州,78.0,中档,1472.0,114888.0,45
中档_9,广州,72.2,中档,1127.0,81377.0,45
中档_10,广州,80.3,中档,1242.0,99772.0,45
中档_11,广州,100.6,中档,1212.0,121897.0,45
中档_12,广州,97.8,中档,1553.0,151915.0,45
中档_13,广州,75.2,中档,1518.0,114237.0,45
中档_14,广州,94.0,中档,1448.0,136124.0,45
中档_15,广州,94.3,中档,1245.0,117428.0,45
中档_16,广州,73.9,中档,1086.0,80226.0,45
中档_17,广州,77.0,中档,1107.0,85169.0,45
中档_18,广州,75.8,中档,1125.0,85264.0,45
中档_19,广州,92.4,中档,1462.0,135177.0,45
高档_0,广州,101.9,高档,2985.0,304184.0,70
高档_1,广州,74.7,高档,2951.0,220427.0,70
高档_2,广州,77.4,高档,1901.0,147237.0,70
高档_3,广州,81.5,高档,2620.0,213550.0,70
高档_4,广州,71.9,高档,2103.0,151210.0,70
高档_5,广州,86.0,高档,2951.0,253707.0,70
高档_6,广州,86.0,高档,2380.0,204597.0,70
高档_7,广州,84.8,高档,1930.0,163716.0,70
高档_8,广州,105.2,高档,3092.0,325251.0,70
高档_9,广州,98.9,高档,2358.0,233128.0,70
高档_10,广州,87.8,高档,2236.0,196228.0,70
高档_11,广州,96.2,高档,2715.0,261083.0,70
高档_12,广州,82.4,高档,3024.0,249251.0,70
高档_13,广州,98.8,高档,2106.0,208138.0,70
高档_14,广州,102.4,高档,2744.0,280907.0,70
高档_15,广州,80.0,高档,2215.0,177169.0,70
高档_16,广州,100.1,高档,1912.0,191333.0,70
高档_17,广州,87.5,高档,3149.0,275606.0,70
高档_18,广州,80.2,高档,2504.0,200975.0,70
高档_19,广州,106.3,高档,3024.0,321461.0,70
